pull_time,club_name,active,console,club_id,division,ten_match_record,total_games,wins,losses,draws,goals_scored,goals_per_match,goals_conceded,goals_conceded_per_match,goal_difference,promotions,holds,relegations,best_season_div,best_season_points,region,stadium,total_rank_points,league_points,cup_points,div_1_titles,other_div_titles,total_trophies
2023-03-20 18:05:16,klas47,Yes,xboxone,2755074,1,WWWWWWLLDD,329,203,50,76,777,2.36,434,1.32,343,13,21,4,1,25,British Isles,El Alcoraz,6194,6194,0,6,11,17
2023-03-20 18:05:16,Barca B,Yes,xboxone,418509,2,WWWLLLLLLD,851,392,135,324,1823,2.14,1668,1.96,155,25,51,17,1,25,British Isles,El Dawg Arena,9960,9960,0,4,11,15
2023-03-20 18:05:16,Backyardigan FC,Yes,xboxone,4924674,1,WWWWWWWWWW,777,496,97,184,2068,2.66,1177,1.51,891,16,64,7,1,25,British Isles,The Sandbox,16837,16837,0,27,11,38
2023-03-20 18:05:16,Vergudos,Yes,xboxone,1409714,1,WWWWWWWLDD,489,275,91,123,1287,2.63,874,1.79,413,17,29,8,1,25,Central America,Estadio Santiago Bernabéu,8228,8228,0,8,12,20
2023-03-20 18:05:16,Razorbacks FC,Yes,xboxone,1644264,2,WWWWWLLLDD,761,319,122,320,1593,2.09,1601,2.1,-8,27,36,19,1,18,Central America,Arena del Centenario,6271,6271,0,0,11,11
2023-03-20 18:05:16,REBELLIONS,Yes,ps4,151724,1,WWWWWWWWLL,2490,1989,232,269,7613,3.06,2008,0.81,5605,11,265,2,1,25,,REBELLIONS,81488,81488,0,213,9,222
2023-03-20 18:05:16,PRIIMEFUTBOL FC,Yes,ps4,3131494,1,WWWWWWWWLD,956,907,33,16,3566,3.73,450,0.47,3116,9,107,0,1,25,East Coast US,King Fahd Stadium,37381,37381,0,107,9,116
2023-03-20 18:05:16,IM THE DANGER,Yes,ps4,1781359,1,WWWWWWLLLD,568,478,45,45,1842,3.24,608,1.07,1234,9,56,0,1,25,,Stamford Bridge,19296,19296,0,51,8,59
2023-03-20 18:05:16,fcpittbull,Yes,ps4,7189369,1,WWWWWWDDDD,1124,956,94,74,3647,3.24,928,0.83,2719,9,119,0,1,25,Southern Europe,Stadion Olympik,38976,38976,0,105,9,114
2023-03-20 18:05:16,NO W2Y OUT,Yes,ps4,3948554,1,WWWWWWWWWL,1070,842,106,122,3375,3.15,1135,1.06,2240,10,110,1,1,25,,Cívitas METROPOLITANO,32935,32935,0,78,10,88
2023-03-20 18:05:16,E v A s  FC,Yes,ps4,2073334,1,WWWLDDDDDD,1843,1311,242,290,4971,2.7,1858,1.01,3113,13,189,4,1,25,,E v A s FC,49758,49758,0,100,12,112
2023-03-20 18:05:16,954passes,Yes,ps4,6620679,1,WWWWWWWWWL,589,493,51,45,1577,2.68,322,0.55,1255,9,58,0,1,25,Northern Europe,Estadio Santiago Bernabéu,19194,19194,0,48,9,57
2023-03-20 18:05:16,Vetra FC,Yes,ps4,2856989,1,WWWWWWWWDD,2308,2040,147,121,7761,3.36,1620,0.7,6141,9,255,0,1,25,Southern Europe,Vetra FC Stadium,84377,84377,0,239,9,248
2023-03-20 18:05:16,WOLVES,Yes,ps4,1415464,1,WWWWWWWWWL,678,484,84,110,1892,2.79,794,1.17,1098,11,63,2,1,25,,Waldstadion,17652,17652,0,34,9,43
2023-03-20 18:05:16,Gunners 04,Yes,ps4,10130289,1,WWWWWWWWWW,674,602,36,36,2540,3.77,475,0.7,2065,9,71,0,1,25,,Emirates Stadium,24061,24061,0,64,9,73
2023-03-20 18:05:16,Internationaal,Yes,ps4,69664,1,WWWWWWWWLL,2610,2045,242,323,7329,2.81,2323,0.89,5006,16,269,7,1,25,Southern Europe,Atatürk Olimpiyat Stadı,80827,80827,0,202,11,213
2023-03-20 18:05:16,LARAPIAGEM ES,Yes,ps4,1349554,1,WWWWWWWWWL,1486,1262,134,90,4740,3.19,1110,0.75,3630,9,162,0,1,25,South America,LARAPIOS ARENA,51971,51971,0,140,9,149
2023-03-20 18:05:16,PEPEU GOMES FC,Yes,ps4,2929849,1,WWWWWWWWWD,2001,1722,147,132,7119,3.56,1812,0.91,5307,9,220,0,1,25,South America,Canalhas Arena,70981,70981,0,195,9,204
2023-03-20 18:05:16,L  O  S  T,Yes,ps4,7024069,1,WWWWWWWWWD,1003,813,91,99,3269,3.26,1016,1.01,2253,9,104,0,1,25,,Old Trafford,32357,32357,0,81,9,90
2023-03-20 18:05:16,i C E,Yes,ps4,8457829,1,WWWWWWWWLD,1207,984,108,115,4209,3.49,1388,1.15,2821,9,126,0,1,25,,Anfield,39578,39578,0,102,9,111
2023-03-20 18:05:16,xX HEAVENS Xx,Yes,ps4,4873664,1,WWWWWWWWLD,1699,1528,92,79,5959,3.51,1187,0.7,4772,9,188,0,1,25,East Coast US,Cívitas METROPOLITANO,63537,63537,0,182,9,191
2023-03-20 18:05:16,M T G,Yes,ps4,5392094,1,WWWWWWWWWL,498,414,28,56,1616,3.24,448,0.9,1168,11,44,2,1,25,,Eastpoint Arena,15738,15738,0,40,11,51
2023-03-20 18:05:16,Maniac,Yes,ps4,5604744,1,WWWWWWWLLD,1341,1156,103,82,4361,3.25,1221,0.91,3140,9,145,0,1,25,British Isles,Maniac fc,47692,47692,0,131,9,140
2023-03-20 18:05:16,FC   Warriors,Yes,ps4,6608394,1,WWWWWWWWWD,1486,999,170,317,4067,2.74,2077,1.4,1990,17,141,8,1,25,,Estádio do SL Benfica,35848,35848,0,63,14,77
2023-03-20 18:05:16,A C R,Yes,ps4,608559,1,WWWWWWWLLD,756,499,94,163,1937,2.56,973,1.29,964,12,68,3,1,25,,Old Trafford,17768,17768,0,30,8,38
2023-03-20 18:05:16,x FastLife,Yes,ps4,14379804,1,WWWWWWWWWD,500,437,39,24,1789,3.58,345,0.69,1444,9,49,0,1,25,Southern Europe,FAST FOOT,17550,17550,0,47,9,56
2023-03-20 18:05:16,SANTOS I TSK,Yes,ps4,527909,1,WWWWWWWWLL,4008,2922,405,681,11128,2.78,4148,1.03,6980,17,418,8,1,25,,Estadio Santiago Bernabéu,110379,110379,0,233,14,247
